DATE,PERIOD,USEP,Model_1,Model_2,Forecast_Baseline,Random_Jitter,Updated_Model
5/11/2019,13,74.16,65.8788336,82.09,73.9844168,1.09,80.8344
5/11/2019,14,78.85,66.40739545,82.16,74.28369773,1.02,80.427
5/11/2019,15,78.89,76.01487262,211.43,143.7224363,0.97,76.5233
5/11/2019,16,78.98,76.88498415,81.9,79.39249208,0.96,75.8208
5/11/2019,17,77.49,77.77422669,90.02,83.89711335,0.95,73.6155
5/11/2019,18,78.23,87.32042738,91.9,89.61021369,0.9,70.407
5/11/2019,19,81.13,87.66202623,92.43,90.04601311,1.04,84.3752
5/11/2019,20,80.67,87.89102922,87.19,87.54051461,1,80.67
5/11/2019,21,80.78,88.0583767,87.19,87.62418835,1,80.78
5/11/2019,22,81.14,88.132735,88.1,88.1163675,1.1,89.254
5/11/2019,23,82.1,88.07396647,87.56,87.81698323,0.94,77.174
5/11/2019,24,79.3,87.86466485,86.54,87.20233243,1.01,80.093
5/11/2019,25,78.93,87.69263761,91.9,89.7963188,1.06,83.6658
5/11/2019,26,78.82,87.7360323,120.64,104.1880161,0.94,74.0908
5/11/2019,27,78.93,87.89391163,87.32,87.60695582,0.94,74.1942
5/11/2019,28,82.68,87.99629351,87.56,87.77814676,0.91,75.2388
5/11/2019,29,79.81,87.99381393,87.57,87.78190697,1.08,86.1948
5/11/2019,30,80.84,87.93962774,87.21,87.57481387,0.96,77.6064
5/11/2019,31,80.82,87.93126339,87.56,87.7456317,0.94,75.9708
5/11/2019,32,80.78,87.95032715,87.21,87.58016358,1.02,82.3956
5/11/2019,33,79.58,87.95553267,87.21,87.58276634,1,79.58
5/11/2019,34,79.81,87.86965719,86.3,87.08482859,0.96,76.6176
5/11/2019,35,78.77,87.66010115,92.12,89.89005057,1.03,81.1331
5/11/2019,36,75.4,87.29022808,90.02,88.65511404,0.96,72.384
5/11/2019,37,78.2,87.04911165,92.12,89.58455583,1.03,80.546
5/11/2019,38,78.91,87.10277196,82.21,84.65638598,1.05,82.8555
5/11/2019,39,79.3,87.144695,83.12,85.1323475,1.07,84.851
5/11/2019,40,79.18,87.07858255,83.13,85.10429127,0.9,71.262
5/11/2019,41,78.99,86.93978882,84.08,85.50989441,1.08,85.3092
5/11/2019,42,78.82,77.84403452,85.43,81.63701726,0.9,70.938
5/11/2019,43,78.87,77.65706982,90.67,84.16353491,1.04,82.0248
5/11/2019,44,81.06,77.275367,87.7,82.4876835,0.96,77.8176
5/11/2019,45,79.21,76.80400474,86.9,81.85200237,0.94,74.4574
5/11/2019,46,78.48,76.37778587,82.77,79.57389294,0.97,76.1256
5/11/2019,47,74.88,75.90004548,82.14,79.02002274,1.07,80.1216
5/11/2019,48,71.71,75.37815143,80.04,77.70907571,1.02,73.1442
6/11/2019,1,74.26,66.08819955,80.99,73.53909977,1.07,79.4582
6/11/2019,2,75.84,65.72147928,79.64,72.68073964,0.95,72.048
6/11/2019,3,72.1,65.47050777,78.95,72.21025389,1.06,76.426
6/11/2019,4,70.91,65.22282963,78.95,72.08641482,1.08,76.5828
6/11/2019,5,70.56,65.0422509,80.82,72.93112545,1.05,74.088
6/11/2019,6,70,64.89824439,80.82,72.8591222,0.94,65.8
6/11/2019,7,69.78,64.77556869,66.46,65.61778434,1.06,73.9668
6/11/2019,8,69.53,64.70614582,66.46,65.58307291,0.99,68.8347
6/11/2019,9,69.54,64.67508893,78.91,71.79254446,0.96,66.7584
6/11/2019,10,69.78,64.74087306,78.91,71.82543653,1.1,76.758
6/11/2019,11,70.56,64.96993167,79.44,72.20496583,1.04,73.3824
6/11/2019,12,72.72,65.41729145,79.64,72.52864573,0.98,71.2656
6/11/2019,13,78.89,65.97635217,80.99,73.48317609,0.98,77.3122
6/11/2019,14,81.49,66.48904306,81.7,74.09452153,0.98,79.8602
6/11/2019,15,82.14,76.07363534,80.03,78.05181767,0.96,78.8544
6/11/2019,16,82.81,76.9010767,92.12,84.51053835,0.98,81.1538
6/11/2019,17,82.29,77.74510814,92.37,85.05755407,0.95,78.1755
6/11/2019,18,83.13,87.2718742,92.12,89.6959371,1.09,90.6117
6/11/2019,19,85.18,87.59953031,91.9,89.74976516,0.94,80.0692
6/11/2019,20,83.05,87.81171127,151.79,119.8008556,0.96,79.728
6/11/2019,21,86.25,87.97893184,89.11,88.54446592,0.91,78.4875
6/11/2019,22,96.28,88.05786549,91.05,89.55393275,1.03,99.1684
6/11/2019,23,87.22,88.01709787,90.74,89.37854893,1.08,94.1976
6/11/2019,24,83.09,87.81589029,182.44,135.1279451,0.93,77.2737
6/11/2019,25,82.09,87.62544369,120.64,104.1327218,1.02,83.7318
6/11/2019,26,82.36,87.65574901,182.44,135.0478745,1.1,90.596
6/11/2019,27,85.16,87.83350013,88.3,88.06675007,1,85.16
6/11/2019,28,86.32,87.94061573,97.37,92.65530786,0.9,77.688
6/11/2019,29,90.3,87.93999133,80.92,84.42999566,1.1,99.33
6/11/2019,30,86.36,87.90297035,80.9,84.40148517,1.09,94.1324
6/11/2019,31,86.44,87.88531329,81.44,84.66265664,1.02,88.1688
6/11/2019,32,87.16,87.88544474,90.62,89.25272237,1.1,95.876
6/11/2019,33,87.2,87.85090209,88.3,88.07545105,1.07,93.304
6/11/2019,34,97.66,87.7628743,92.43,90.09643715,1,97.66
6/11/2019,35,260.89,87.56358815,274.41,180.9867941,1.04,271.3256
6/11/2019,36,82.05,87.22395614,91.3,89.26197807,1.05,86.1525
6/11/2019,37,82.15,87.01225214,91.9,89.45612607,1.03,84.6145
6/11/2019,38,81.94,87.07872413,82.11,84.59436207,1.03,84.3982
6/11/2019,39,82.1,87.12957809,83.22,85.17478904,1.03,84.563
6/11/2019,40,81.69,87.06028327,83.13,85.09514164,1.07,87.4083
6/11/2019,41,81.08,86.91645758,83.13,85.02322879,1.05,85.134
6/11/2019,42,80.92,77.83464864,86.43,82.13232432,0.99,80.1108
6/11/2019,43,83.69,77.64998846,84.36,81.00499423,1.06,88.7114
6/11/2019,44,83.36,77.2729629,84.91,81.09148145,0.94,78.3584
6/11/2019,45,87.47,76.80349405,84.92,80.86174703,1.08,94.4676
6/11/2019,46,82.89,76.37878853,85.11,80.74439427,1.02,84.5478
6/11/2019,47,80.59,75.91004872,81.04,78.47502436,0.95,76.5605
6/11/2019,48,74.56,75.42486388,93.38,84.40243194,0.99,73.8144
7/11/2019,1,77.92,67.43016459,80.99,74.21008229,1.09,84.9328
7/11/2019,2,76.6,67.06854423,81.39,74.22927212,0.98,75.068
7/11/2019,3,73.59,66.78876933,74.54,70.66438467,1.09,80.2131
7/11/2019,4,70.57,66.54612288,80.43,73.48806144,0.98,69.1586
7/11/2019,5,70.4,66.37194495,80.43,73.40097247,1.01,71.104
7/11/2019,6,69.58,66.21597401,72.2,69.207987,0.92,64.0136
7/11/2019,7,69.19,66.10433413,72.2,69.15216706,0.92,63.6548
7/11/2019,8,69.05,66.03809319,72.2,69.1190466,1.05,72.5025
7/11/2019,9,69.06,66.01530704,72.19,69.10265352,0.93,64.2258
7/11/2019,10,69.06,66.09822024,72.2,69.14911012,1.02,70.4412
7/11/2019,11,69.58,66.33468622,80.43,73.38234311,0.98,68.1884
7/11/2019,12,71.39,66.79921238,79.8,73.29960619,0.93,66.3927
7/11/2019,13,78.93,67.3862966,81.65,74.5181483,0.96,75.7728
7/11/2019,14,81.93,67.9138935,81.92,74.91694675,0.93,76.1949
7/11/2019,15,82.07,77.51707475,80.03,78.77353738,1.1,90.277
7/11/2019,16,83.04,78.37946728,91.9,85.13973364,1.03,85.5312
7/11/2019,17,82.39,79.24574636,85.92,82.58287318,1.09,89.8051
7/11/2019,18,83.14,88.7893389,115.84,102.3146694,1.07,88.9598
7/11/2019,19,85.29,89.11058372,82.21,85.66029186,0.93,79.3197
7/11/2019,20,83.29,89.31948864,100.67,94.99474432,1.05,87.4545
7/11/2019,21,86.54,89.48663268,100.67,95.07831634,1.07,92.5978
7/11/2019,22,86.84,89.56553294,104.61,97.08776647,0.98,85.1032
7/11/2019,23,551.98,89.51656165,104.61,97.06328082,1.01,557.4998
7/11/2019,24,501.4,89.31784839,100.17,94.74392419,1.04,521.456
7/11/2019,25,501.46,89.16027965,83.4,86.28013983,0.92,461.3432
7/11/2019,26,306.31,89.19837572,100.56,94.87918786,1.06,324.6886
7/11/2019,27,384.85,89.37257539,100.17,94.77128769,0.96,369.456
7/11/2019,28,259.86,89.47270949,100.17,94.82135475,1,259.86
7/11/2019,29,353.89,89.48641885,100.17,94.82820943,1.08,382.2012
7/11/2019,30,259.85,89.44665728,100.17,94.80832864,1.04,270.244
7/11/2019,31,266.06,89.44670728,100.67,95.05835364,1.07,284.6842
7/11/2019,32,261.4,89.45443893,100.17,94.81221947,0.98,256.172
7/11/2019,33,260.38,89.43474748,100.17,94.80237374,1.07,278.6066
7/11/2019,34,259.97,89.32300081,100.67,94.99650041,1.01,262.5697
7/11/2019,35,259.18,89.10386793,100.56,94.83193396,1.1,285.098
7/11/2019,36,83.09,88.72893232,90.02,89.37446616,1.03,85.5827
7/11/2019,37,82.06,88.49547397,90.02,89.25773699,0.91,74.6746
7/11/2019,38,84.8,88.55817146,81.88,85.21908573,0.95,80.56
7/11/2019,39,84.81,88.61729784,82.54,85.57864892,1.09,92.4429
7/11/2019,40,83.02,88.56591706,83.13,85.84795853,1.01,83.8502
7/11/2019,41,81.17,88.44388564,86.5,87.47194282,1.07,86.8519
7/11/2019,42,80.85,79.35696487,86.43,82.89348243,0.91,73.5735
7/11/2019,43,84.1,79.17216285,86.41,82.79108143,1.08,90.828
7/11/2019,44,81.1,78.80284639,84.92,81.8614232,0.93,75.423
7/11/2019,45,87.57,78.35027853,84.89,81.62013927,0.97,84.9429
7/11/2019,46,82.35,77.94142425,84.91,81.42571213,1.05,86.4675
7/11/2019,47,80.85,77.48148392,83.07,80.27574196,1.02,82.467
7/11/2019,48,76.9,76.99262343,78.97,77.98131172,0.95,73.055
8/11/2019,1,82.69,58.65573757,82.16,70.40786878,0.9,74.421
8/11/2019,2,81.19,58.29346695,83.12,70.70673347,1,81.19
8/11/2019,3,78.98,58.03729519,83.12,70.57864759,1.01,79.7698
8/11/2019,4,76.99,57.79610345,74.54,66.16805172,0.94,72.3706
8/11/2019,5,75.23,57.60985763,51.14,54.37492882,0.99,74.4777
8/11/2019,6,75.41,57.45226575,51.14,54.29613287,0.9,67.869
8/11/2019,7,75.22,57.32796578,30.41,43.86898289,1.01,75.9722
8/11/2019,8,73.95,57.24927531,30.41,43.82963765,0.93,68.7735
8/11/2019,9,73.85,57.22438959,30.41,43.8171948,0.96,70.896
8/11/2019,10,73.94,57.2794092,30.41,43.8447046,1.03,76.1582
8/11/2019,11,74.2,57.49991609,51.14,54.31995805,0.93,69.006
8/11/2019,12,75.21,57.93474979,74.54,66.23737489,1.07,80.4747
8/11/2019,13,81.16,58.481676,83.12,70.800838,0.97,78.7252
8/11/2019,14,85.06,58.97598583,82.67,70.82299292,0.95,80.807
8/11/2019,15,78.93,68.55614355,211.43,139.9930718,0.94,74.1942
8/11/2019,16,81.18,69.38900201,248.88,159.134501,0.94,76.3092
8/11/2019,17,86.28,70.24390571,75.66,72.95195285,1.06,91.4568
8/11/2019,18,293.99,79.78088312,246.48,163.1304416,1.03,302.8097
8/11/2019,19,262.31,80.11528685,76.44,78.27764343,0.93,243.9483
8/11/2019,20,260.52,80.31656631,76.44,78.37828316,0.99,257.9148
8/11/2019,21,259.94,80.47770458,98.79,89.63385229,1.02,265.1388
8/11/2019,22,138.74,80.56410571,113.07,96.81705285,1.02,141.5148
8/11/2019,23,202.27,80.51387067,139.86,110.1869353,1.05,212.3835
8/11/2019,24,82.55,80.32779123,110.59,95.45889562,0.94,77.597
8/11/2019,25,79.27,80.15265194,110.57,95.36132597,0.9,71.343
8/11/2019,26,78.95,80.18927614,76.44,78.31463807,1.07,84.4765
8/11/2019,27,79.31,80.32618659,110.59,95.45809329,1.05,83.2755
8/11/2019,28,80.32,80.42365177,110.59,95.50682588,0.98,78.7136
8/11/2019,29,80.29,80.44409642,246.48,163.4620482,0.94,75.4726
8/11/2019,30,79.28,80.40820421,246.48,163.4441021,0.95,75.316
8/11/2019,31,80.29,80.40138824,110.59,95.49569412,1.05,84.3045
8/11/2019,32,80.31,80.41383758,110.59,95.50191879,0.94,75.4914
8/11/2019,33,78.78,80.37999383,110.59,95.48499691,0.93,73.2654
